Optimizer,Epoch,Learning Rate,Accuracy
SGD,14,0.0006000000000000001,0.5227000117301941
SGD,15,0.0006000000000000001,0.5371999740600586
SGD,16,0.0006000000000000001,0.5514000058174133
SGD,17,0.0006000000000000001,0.555899977684021
SGD,18,0.0006000000000000001,0.5785999894142151
SGD,19,0.0006000000000000001,0.588699996471405
SGD,20,0.0006000000000000001,0.6011999845504761
SGD,21,0.0006000000000000001,0.6082000136375427
SGD,22,0.0006000000000000001,0.6209999918937683
SGD,23,0.0006000000000000001,0.6208000183105469
SGD,24,0.0006000000000000001,0.6313999891281128
SGD,25,0.0006000000000000001,0.6373999714851379
SGD,26,0.0006000000000000001,0.6438999772071838
SGD,27,0.0006000000000000001,0.6488999724388123
SGD,28,0.0006000000000000001,0.6502000093460083
SGD,29,0.0006000000000000001,0.656000018119812
SGD,30,0.0006000000000000001,0.6575999855995178
SGD,31,0.0006000000000000001,0.6603999733924866
SGD,32,0.0006000000000000001,0.6617000102996826
SGD,33,0.0006000000000000001,0.669700026512146
SGD,34,0.0006000000000000001,0.670799970626831
SGD,35,0.0006000000000000001,0.6735000014305115
SGD,36,0.0006000000000000001,0.6744999885559082
SGD,37,0.0006000000000000001,0.6736999750137329
SGD,38,0.0006000000000000001,0.6789000034332275
SGD,39,0.0006000000000000001,0.6757000088691711
SGD,40,0.0006000000000000001,0.6816999912261963
SGD,41,0.0006000000000000001,0.6865000128746033
SGD,42,0.0006000000000000001,0.6848999857902527
SGD,43,0.0006000000000000001,0.6880000233650208
SGD,44,0.0006000000000000001,0.6901999711990356
SGD,45,0.0006000000000000001,0.6899999976158142
SGD,46,0.0006000000000000001,0.691100001335144
SGD,47,0.0006000000000000001,0.691100001335144
SGD,48,0.0006000000000000001,0.6962000131607056
SGD,49,0.0006000000000000001,0.6949999928474426
SGD,50,0.0006000000000000001,0.698199987411499
SGD,51,0.0006000000000000001,0.698199987411499
SGD,52,0.0006000000000000001,0.6996999979019165
SGD,53,0.0006000000000000001,0.6995999813079834
SGD,54,0.0006000000000000001,0.7014999985694885
SGD,55,0.0006000000000000001,0.7019000053405762
SGD,56,0.0006000000000000001,0.7035999894142151
SGD,57,0.0006000000000000001,0.7031999826431274
SGD,58,0.0006000000000000001,0.7060999870300293
SGD,59,0.0006000000000000001,0.7085999846458435
SGD,60,0.0006000000000000001,0.7091000080108643
SGD,61,0.0006000000000000001,0.7092000246047974
SGD,62,0.0006000000000000001,0.7099000215530396
SGD,63,0.0006000000000000001,0.7102000117301941
SGD,64,0.0006000000000000001,0.7120000123977661
SGD,65,0.0006000000000000001,0.7121000289916992
SGD,66,0.0006000000000000001,0.7143999934196472
SGD,67,0.0006000000000000001,0.7135999798774719
SGD,68,0.0006000000000000001,0.7127000093460083
SGD,69,0.0006000000000000001,0.7163000106811523
SGD,70,0.0006000000000000001,0.7175999879837036
SGD,71,0.0006000000000000001,0.715399980545044
SGD,72,0.0006000000000000001,0.7156000137329102
SGD,73,0.0006000000000000001,0.7178999781608582
SGD,74,0.0006000000000000001,0.7182000279426575
SGD,75,0.0006000000000000001,0.7200000286102295
SGD,76,0.0006000000000000001,0.7200000286102295
SGD,77,0.0006000000000000001,0.7190999984741211
SGD,78,0.0006000000000000001,0.7242000102996826
SGD,79,0.0006000000000000001,0.7222999930381775
SGD,80,0.0006000000000000001,0.7239999771118164
SGD,1,0.0007000000000000001,0.1543000042438507
SGD,2,0.0007000000000000001,0.2037000060081482
SGD,3,0.0007000000000000001,0.21960000693798065
SGD,4,0.0007000000000000001,0.23800000548362732
SGD,5,0.0007000000000000001,0.27300000190734863
SGD,6,0.0007000000000000001,0.32409998774528503
SGD,7,0.0007000000000000001,0.3653999865055084
SGD,8,0.0007000000000000001,0.3903000056743622
SGD,9,0.0007000000000000001,0.398499995470047
SGD,10,0.0007000000000000001,0.41190001368522644
SGD,11,0.0007000000000000001,0.4424999952316284
SGD,12,0.0007000000000000001,0.48010000586509705
SGD,13,0.0007000000000000001,0.5141000151634216
SGD,14,0.0007000000000000001,0.5340999960899353
SGD,15,0.0007000000000000001,0.5634999871253967
SGD,16,0.0007000000000000001,0.589900016784668
SGD,17,0.0007000000000000001,0.6013000011444092
SGD,18,0.0007000000000000001,0.6097999811172485
SGD,19,0.0007000000000000001,0.6234999895095825
SGD,20,0.0007000000000000001,0.6258999705314636
SGD,21,0.0007000000000000001,0.6341000199317932
SGD,22,0.0007000000000000001,0.6312999725341797
SGD,23,0.0007000000000000001,0.6412000060081482
SGD,24,0.0007000000000000001,0.6424999833106995
SGD,25,0.0007000000000000001,0.6478000283241272
SGD,26,0.0007000000000000001,0.6532999873161316
SGD,27,0.0007000000000000001,0.6563000082969666
SGD,28,0.0007000000000000001,0.6599000096321106
SGD,29,0.0007000000000000001,0.6672000288963318
SGD,30,0.0007000000000000001,0.666100025177002
SGD,31,0.0007000000000000001,0.6699000000953674
SGD,32,0.0007000000000000001,0.6739000082015991
SGD,33,0.0007000000000000001,0.677299976348877
SGD,34,0.0007000000000000001,0.6805999875068665
SGD,35,0.0007000000000000001,0.6875
SGD,36,0.0007000000000000001,0.6919999718666077
SGD,37,0.0007000000000000001,0.6929000020027161
SGD,38,0.0007000000000000001,0.6955999732017517
SGD,39,0.0007000000000000001,0.7009000182151794
SGD,40,0.0007000000000000001,0.7034000158309937
SGD,41,0.0007000000000000001,0.7046999931335449
SGD,42,0.0007000000000000001,0.7055000066757202
